slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
pythia,1455,768,0.5278350515463918,0.99,2,0.986975717642897,2.453363705040151e-05,0.9801030777872133,3.813474625370409e-05,0.00687263985568376
pythia,1455,768,0.5278350515463918,0.997,2,0.9960784283127403,3.05381909176547e-06,0.9940080485956202,2.128812457902874e-06,0.0020703797171200966
pythia,1455,768,0.5278350515463918,1.0,2,1.0,0.0,1.0,0.0,0.0
opt350m,1383,1024,0.7404193781634129,0.0,2,0.42571236375990307,0.0006055980183682742,0.00036060737244568214,0.0004885095913728331,0.42535175638745737
opt350m,1383,1024,0.7404193781634129,0.3,2,0.47663195200031255,0.00019734108477856976,0.08948664000625872,1.9946344436695798e-05,0.38714531199405383
opt350m,1383,1024,0.7404193781634129,0.7,2,0.70705406785219,0.0004434987050294762,0.4901028836217324,0.0009840093474391795,0.21695118423045767
opt350m,1383,1024,0.7404193781634129,0.9,2,0.89069474010919,0.0002502281028457225,0.809861777945476,0.0005106379301602125,0.08083296216371405
opt350m,1383,1024,0.7404193781634129,0.95,2,0.9440196975749526,0.00016236160603638367,0.9025391149423493,0.00029134263628530666,0.04148058263260335
opt350m,1383,1024,0.7404193781634129,0.98,2,0.9772470555061222,5.735260772395969e-05,0.9603734751758686,0.00014221418204828277,0.016873580330253657
opt350m,1383,1024,0.7404193781634129,0.99,2,0.9885300619845199,3.367133688577123e-05,0.980035311368651,2.5557760850988183e-05,0.008494750615868907
opt350m,1383,1024,0.7404193781634129,0.997,2,0.9965538558385143,6.8815487271936e-06,0.993998598265281,1.208702642696113e-05,0.0025552575732332716
opt350m,1383,1024,0.7404193781634129,1.0,2,1.0,1.1102230246251565e-16,1.0,0.0,0.0
gpt2medium,1397,1024,0.7329992841803865,0.0,2,0.42343491664316635,0.0005003091650718361,0.0009912834173153333,0.0013050908088295024,0.422443633225851
gpt2medium,1397,1024,0.7329992841803865,0.3,2,0.47514177796969187,0.0001227879839887318,0.09008586190214293,0.00014157136486525558,0.38505591606754896
gpt2medium,1397,1024,0.7329992841803865,0.7,2,0.7058264683831847,0.0002272280038300543,0.4903665785999949,0.00055330380441728,0.21545988978318986
gpt2medium,1397,1024,0.7329992841803865,0.9,2,0.8902459019164333,0.00040240578443809585,0.8096960254382719,0.0006718150999776152,0.08054987647816136
gpt2medium,1397,1024,0.7329992841803865,0.95,2,0.9436610761719886,0.00024055813402608256,0.9023640750038794,0.0005423230643577453,0.04129700116810919
gpt2medium,1397,1024,0.7329992841803865,0.98,2,0.9771974669528181,2.3131860626289153e-05,0.9605142666837203,8.270967898366794e-06,0.016683200269097753
gpt2medium,1397,1024,0.7329992841803865,0.99,2,0.988515307544138,2.3252584619990886e-05,0.980107670243451,4.9235004363631356e-05,0.008407637300686943
gpt2medium,1397,1024,0.7329992841803865,0.997,2,0.9965352705856423,4.547571849109189e-06,0.9939904499665998,1.2445297100182892e-05,0.002544820619042487
gpt2medium,1397,1024,0.7329992841803865,1.0,2,1.0,1.1102230246251565e-16,1.0,0.0,0.0
