slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
smollm2135m,SmolLM2-135M,42,28,0.9333333333333333,0.03620639848955,0.7966920158197908,0.766865793242205,0.4364421909380042,0.08295806235353871,neither
smollm2135m,SmolLM2-135M,42,29,0.9666666666666667,0.0344131465520972,0.8166111540508268,0.7876580441070158,0.3957308018421575,0.0869610007406584,neither
smollm2135m,SmolLM2-135M,42,30,1.0,0.1613179966161661,0.7481544860492513,0.5879516205471975,0.6638938934035512,0.24298761928528262,neither
smollm2135m,SmolLM2-135M,43,0,0.0,0.0011043093796311,0.1672124744150706,0.1662407261903299,1.6665467993945997,0.0006626332846051837,neither
smollm2135m,SmolLM2-135M,43,1,0.03333333333333333,0.0061250842342864,0.3567305189194765,0.3508555900107584,1.2924138910697651,0.004739259053627555,neither
smollm2135m,SmolLM2-135M,43,2,0.06666666666666667,0.0079829813993121,0.5718107876091671,0.5639019212680313,0.8642872911228016,0.009236490552743585,neither
smollm2135m,SmolLM2-135M,43,3,0.1,0.0066695656694622,0.5828660849185401,0.5764947311241816,0.8406391839572783,0.007933921945043606,neither
smollm2135m,SmolLM2-135M,43,4,0.13333333333333333,0.0053343195786262,0.5874045923508555,0.5834355226739165,0.829159884975228,0.006433402863894661,neither
smollm2135m,SmolLM2-135M,43,5,0.16666666666666666,0.0053649420908802,0.5814968502641964,0.5784803924862325,0.8400227572495711,0.006386662795239337,neither
smollm2135m,SmolLM2-135M,43,6,0.2,0.0080342041923847,0.5885816079338415,0.5827165342100751,0.8287018578560834,0.0096949272120251,neither
smollm2135m,SmolLM2-135M,43,7,0.23333333333333334,0.0075689278693369,0.5929226672164959,0.5883270270981712,0.8187503056853328,0.009244488602665435,neither
smollm2135m,SmolLM2-135M,43,8,0.26666666666666666,0.0068076948122354,0.6218250209431461,0.6201310984398353,0.7580438806170186,0.008980607833275032,neither
smollm2135m,SmolLM2-135M,43,9,0.3,0.0077551420415573,0.6403736460263921,0.6375712281115085,0.7220551258620993,0.01074037391853985,neither
smollm2135m,SmolLM2-135M,43,10,0.3333333333333333,0.0094257409834264,0.6498972905980056,0.6455029823331881,0.7045997270688062,0.013377440582667084,neither
smollm2135m,SmolLM2-135M,43,11,0.36666666666666664,0.0097321915307008,0.6693040259505543,0.6646772285004253,0.6660187455490204,0.014612488906266813,neither
smollm2135m,SmolLM2-135M,43,12,0.4,0.0100701260828475,0.6465515514949658,0.6434101713435242,0.71003827716151,0.014182511572621714,neither
smollm2135m,SmolLM2-135M,43,13,0.43333333333333335,0.0111222986391892,0.6175847640004773,0.6169808474723428,0.7654343885271797,0.014530701528305141,neither
smollm2135m,SmolLM2-135M,43,14,0.4666666666666667,0.013218402264868,0.6543887620229877,0.6631987985198277,0.6824124394571845,0.01937010743148585,neither
smollm2135m,SmolLM2-135M,43,15,0.5,0.0131672774613715,0.6530147872148857,0.6482273064221767,0.6987579063629376,0.01884383323819218,neither
smollm2135m,SmolLM2-135M,43,16,0.5333333333333333,0.0115938435999621,0.6849152238440481,0.6864289905704056,0.6286557855855462,0.018442276148247477,neither
smollm2135m,SmolLM2-135M,43,17,0.5666666666666667,0.0143827302821198,0.7142480469971765,0.704493694649347,0.5812582583534767,0.02474413064316985,neither
smollm2135m,SmolLM2-135M,43,18,0.6,0.0144075104489296,0.7025983553895565,0.6935353163093245,0.603866328301119,0.02385877432421645,neither
smollm2135m,SmolLM2-135M,43,19,0.6333333333333333,0.020821087855556,0.7025494053145073,0.6857889582429403,0.6116616364425526,0.034040205589240875,neither
smollm2135m,SmolLM2-135M,43,20,0.6666666666666666,0.0204984945619057,0.7392712027193222,0.7235216717523061,0.5372071255283717,0.038157525445598556,neither
smollm2135m,SmolLM2-135M,43,21,0.7,0.0168349463276961,0.728600839304083,0.7207361735230651,0.5506629871728519,0.030572140710106683,neither
smollm2135m,SmolLM2-135M,43,22,0.7333333333333333,0.0158989980010331,0.7306170593427785,0.7292853897434892,0.5400975509137322,0.029437271052489163,neither
smollm2135m,SmolLM2-135M,43,23,0.7666666666666667,0.0230238660643804,0.7311022620174409,0.7170185475221319,0.5518791904604271,0.041719032828854856,neither
smollm2135m,SmolLM2-135M,43,24,0.8,0.0285695743650578,0.7201028736284276,0.7037600328838621,0.5761370934877103,0.04958815304202805,neither
