slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
opt350m,1380,1024,0.7420289855072464,0.7,2,0.7075593244583156,0.0010063588667192688,0.4905441721842798,0.0016104144138864335,0.21701515227403578
opt350m,1380,1024,0.7420289855072464,0.9,2,0.8909505024789617,6.037376917951893e-05,0.8100829961808049,8.912699249790911e-05,0.08086750629815675
opt350m,1380,1024,0.7420289855072464,0.95,2,0.9441356855009813,9.046060862464586e-05,0.9026829593415524,0.0001612285598766815,0.041452726159428854
opt350m,1380,1024,0.7420289855072464,0.98,2,0.9772765276629912,6.00530304591358e-05,0.9604002026803733,0.00013988543632166534,0.01687632498261793
opt350m,1380,1024,0.7420289855072464,0.99,2,0.9885554658389929,5.323308010540058e-05,0.9800590300099876,6.511438524536823e-05,0.008496435829005278
opt350m,1380,1024,0.7420289855072464,0.997,2,0.9965558894540338,6.650300300076362e-06,0.9939970961465137,1.1162107566683795e-05,0.0025587933075201796
opt350m,1380,1024,0.7420289855072464,1.0,2,1.0,1.1102230246251565e-16,1.0,0.0,0.0
gpt2medium,1399,1024,0.731951393852752,0.0,2,0.42295789451723786,8.037985529425431e-05,0.0008775425935033845,0.000465033227085533,0.4220803519237345
gpt2medium,1399,1024,0.731951393852752,0.3,2,0.47449447177040693,8.351650412435834e-05,0.0896033810307179,0.00010955334828452855,0.384891090739689
gpt2medium,1399,1024,0.731951393852752,0.7,2,0.7056341997289277,0.00034558790003545747,0.49050955090296544,0.00030640801837227564,0.21512464882596227
gpt2medium,1399,1024,0.731951393852752,0.9,2,0.8901845695055924,0.0004780616054734449,0.8097375123760497,0.0008597684561612169,0.0804470571295427
gpt2medium,1399,1024,0.731951393852752,0.95,2,0.9436700977619723,0.00015517345408709286,0.9024222979715959,0.00038089304876254065,0.041247799790376405
gpt2medium,1399,1024,0.731951393852752,0.98,2,0.9771786155209976,2.9858084924844905e-05,0.9605039456590275,7.797282110635765e-05,0.01667466986197008
gpt2medium,1399,1024,0.731951393852752,0.99,2,0.9884900039832183,3.487313254571515e-05,0.9800765523836784,7.759221723601116e-05,0.008413451599539878
gpt2medium,1399,1024,0.731951393852752,0.997,2,0.9965368121686792,1.7158856515865043e-05,0.9939978616256477,3.196063247415525e-05,0.0025389505430314374
gpt2medium,1399,1024,0.731951393852752,1.0,2,1.0,0.0,1.0,0.0,0.0
smollm2360m,1320,960,0.7272727272727273,0.0,2,0.4203787653715815,0.0009377801171387547,-0.0009305566297008263,0.002052446833392502,0.4213093220012823
smollm2360m,1320,960,0.7272727272727273,0.3,2,0.47323544260857653,0.00040326376396812894,0.0902620032872349,0.0007816760683393529,0.38297343932134165
smollm2360m,1320,960,0.7272727272727273,0.7,2,0.7053703603387891,0.0007952190137296307,0.49111705657770577,0.0012129941426635503,0.2142533037610833
smollm2360m,1320,960,0.7272727272727273,0.9,2,0.8901245776617088,3.967446945116263e-05,0.8101821577500531,7.154572768417998e-05,0.07994241991165574
smollm2360m,1320,960,0.7272727272727273,0.95,2,0.9436713301520798,1.7784085349331363e-05,0.9027586632620939,0.0001071826599373123,0.04091266688998596
smollm2360m,1320,960,0.7272727272727273,0.98,2,0.9771128406087642,4.252976175047729e-05,0.9604936081774413,9.18250572366719e-05,0.016619232431322906
smollm2360m,1320,960,0.7272727272727273,0.99,2,0.988467698624631,1.3878556929409543e-05,0.9800854801229393,3.221702309727487e-05,0.00838221850169174
smollm2360m,1320,960,0.7272727272727273,0.997,2,0.9965340963346745,6.072733262055897e-06,0.9940143269479255,1.1829487075447358e-05,0.0025197693867490267
smollm2360m,1320,960,0.7272727272727273,1.0,2,1.0,0.0,1.0,0.0,0.0
pythia410m,1436,1024,0.713091922005571,0.0,2,0.41630783638430213,0.000171450106883841,0.0001266765111198372,0.00029418910266683303,0.41618115987318227
pythia410m,1436,1024,0.713091922005571,0.3,2,0.4691349968577573,0.0008232682612399597,0.09061298023349745,0.0011827261758269366,0.3785220166242598
pythia410m,1436,1024,0.713091922005571,0.7,2,0.7022914807604923,0.00024857061042679016,0.48981694467864734,0.0006510370787042349,0.21247453608184497
pythia410m,1436,1024,0.713091922005571,0.9,2,0.8888762373904664,0.00011055952872435273,0.8094995653048355,9.8176883682281e-06,0.07937667208563093
pythia410m,1436,1024,0.713091922005571,0.95,2,0.9431579619515368,0.0002816111573916175,0.9026519584262545,0.0005082815043880302,0.04050600352528233
pythia410m,1436,1024,0.713091922005571,0.98,2,0.9769049046813064,5.804445193147458e-05,0.9604167238795734,0.00010744387511690908,0.016488180801732977
pythia410m,1436,1024,0.713091922005571,0.99,2,0.9884227476904432,2.3990122811628315e-05,0.9801692012018897,3.571371334082697e-05,0.008253546488553587
pythia410m,1436,1024,0.713091922005571,0.997,2,0.9965025742086372,9.92828054964161e-07,0.9940082019643113,3.390115481499515e-06,0.0024943722443259153
pythia410m,1436,1024,0.713091922005571,1.0,2,1.0,1.1102230246251565e-16,1.0,0.0,0.0
bloom560m,1456,1024,0.7032967032967034,0.0,2,0.412503858698419,0.000955886265080049,-0.0008542436188786306,0.0006305446538046443,0.41335810231729764
bloom560m,1456,1024,0.7032967032967034,0.3,2,0.46636655485675926,0.000853188872581605,0.09116753789011173,0.0014510557406357996,0.37519901696664754
bloom560m,1456,1024,0.7032967032967034,0.7,2,0.7004379544556565,1.2565283325572856e-05,0.489581513249739,8.631398933461479e-05,0.2108564412059175
bloom560m,1456,1024,0.7032967032967034,0.9,2,0.888356188234031,0.00010961550096038648,0.8096446928549168,0.00028106876264124956,0.07871149537911415
bloom560m,1456,1024,0.7032967032967034,0.95,2,0.9429530460334097,5.4330297303314864e-05,0.9028995782030405,0.00010894622087244373,0.04005346783036923
bloom560m,1456,1024,0.7032967032967034,0.98,2,0.9767130322282082,2.315994510883019e-05,0.9603448604550775,2.6813886371764074e-05,0.016368171773130658
bloom560m,1456,1024,0.7032967032967034,0.99,2,0.9883283488360184,2.5348242759502704e-05,0.9801320649153578,3.679257195146453e-05,0.00819628392066063
bloom560m,1456,1024,0.7032967032967034,0.997,2,0.9964819023776643,3.23217595844002e-06,0.9940082944585175,1.7365247769475128e-06,0.0024736079191468585
bloom560m,1456,1024,0.7032967032967034,1.0,2,1.0,0.0,1.0,0.0,0.0
