slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
smollm2360m,SmolLM2-360M,43,18,0.5625,0.0160213878146882,0.676778287656504,0.663174552987699,0.6600471593557969,0.024273095622932464,neither
smollm2360m,SmolLM2-360M,43,19,0.59375,0.0179094588147768,0.688883123283851,0.6729925949295474,0.6381242817866015,0.02806578487286901,neither
smollm2360m,SmolLM2-360M,43,20,0.625,0.0119357044161792,0.7206712894761075,0.7129545184779513,0.5663741920459413,0.02107388469284462,neither
smollm2360m,SmolLM2-360M,43,21,0.65625,0.0163113850508415,0.7122363550626943,0.6992966910549172,0.5884669538823886,0.027718438466642435,neither
smollm2360m,SmolLM2-360M,43,22,0.6875,0.0234206746335594,0.7338158436420859,0.7118564040432975,0.5543277523146166,0.04225059008098635,neither
smollm2360m,SmolLM2-360M,43,23,0.71875,0.015948656344224,0.742246560724354,0.7309449651961176,0.5268084740795284,0.030274107439312657,neither
smollm2360m,SmolLM2-360M,43,24,0.75,0.0224148773239505,0.7409670955756696,0.7232892126894349,0.5357436917348956,0.041838807754067134,neither
smollm2360m,SmolLM2-360M,43,25,0.78125,0.021828476262467,0.7611073892177289,0.7446336781340452,0.49425893264822585,0.04416405009720435,neither
smollm2360m,SmolLM2-360M,43,26,0.8125,0.0303560262710806,0.7453746314725487,0.718855051286521,0.5357703172409303,0.05665865632012946,neither
smollm2360m,SmolLM2-360M,43,27,0.84375,0.0254478501754665,0.7609956753198223,0.740798035687827,0.49820628899235087,0.051078942072241104,neither
smollm2360m,SmolLM2-360M,43,28,0.875,0.0339086398589481,0.7729773660334462,0.7425486118314082,0.48447402213514557,0.06999062552313522,neither
smollm2360m,SmolLM2-360M,43,29,0.90625,0.0267307954725618,0.7918567544409941,0.7700225530113844,0.4381206925476213,0.06101240121101176,neither
smollm2360m,SmolLM2-360M,43,30,0.9375,0.0299091274611448,0.8257648609102313,0.7992700190811562,0.3749651200086125,0.07976509244501949,neither
smollm2360m,SmolLM2-360M,43,31,0.96875,0.0295710329890042,0.8461220425784989,0.8192618617294508,0.3346160956920504,0.08837301423843828,neither
smollm2360m,SmolLM2-360M,43,32,1.0,0.1185552226371289,0.7846592799919812,0.6739611602911413,0.5413795597168776,0.21898725304503386,neither
smollm2360m,SmolLM2-360M,44,0,0.0,0.0005640540954553,0.0754244637368793,0.0750633008675278,1.8495122353955928,0.00030497451417760117,neither
smollm2360m,SmolLM2-360M,44,1,0.03125,0.0115738055359676,0.4958592688989336,0.4842879977269875,1.019852733374079,0.011348506659071101,neither
smollm2360m,SmolLM2-360M,44,2,0.0625,0.0076130892757032,0.6674253477600984,0.6598385612764238,0.6727360909634778,0.01131660598853839,neither
smollm2360m,SmolLM2-360M,44,3,0.09375,0.0040492711370396,0.6380797835480695,0.6344926256314695,0.7274275908204612,0.005566562484208844,neither
smollm2360m,SmolLM2-360M,44,4,0.125,0.0030824711579254,0.6503224336911012,0.649038782246133,0.7006387840627657,0.004399515453671005,neither
smollm2360m,SmolLM2-360M,44,5,0.15625,0.0054248813650573,0.6455976607381467,0.640854551491388,0.7135477877704651,0.007602688226401428,neither
smollm2360m,SmolLM2-360M,44,6,0.1875,0.0080758173914107,0.6176604738398266,0.610172411015279,0.7721671151448944,0.010458639370954434,neither
smollm2360m,SmolLM2-360M,44,7,0.21875,0.0096990302059251,0.6069870405533984,0.5977702030668051,0.7952427563797966,0.012196313802439695,neither
smollm2360m,SmolLM2-360M,44,8,0.25,0.0098693031927342,0.5580130589863757,0.5494954748157148,0.8924914661979095,0.011058148527490442,neither
smollm2360m,SmolLM2-360M,44,9,0.28125,0.0084888796811375,0.6034716621634393,0.5991109085987142,0.7974174292378465,0.01064546543615303,neither
smollm2360m,SmolLM2-360M,44,10,0.3125,0.0081480825049217,0.6204137072104026,0.6165335489378612,0.7630527438517363,0.010678269058822623,neither
smollm2360m,SmolLM2-360M,44,11,0.34375,0.0116218514724614,0.6234279820553739,0.6133719917743463,0.7632000261702798,0.015227792287664852,neither
smollm2360m,SmolLM2-360M,44,12,0.375,0.0107557370088722,0.629500586855507,0.6212186893932267,0.7492807237512663,0.014354749385548999,neither
smollm2360m,SmolLM2-360M,44,13,0.40625,0.0088872376911964,0.6290122894431559,0.6246194118044557,0.7463682987523883,0.011907308638445788,neither
